child,parent,child_pn,fastener,qty,loctite,torque
CE Pneumatic FRL Unit,,,,1,,
Air Filter,CE Pneumatic FRL Unit,AFG40-03C-D,,1,,
Micro Mist Separator,CE Pneumatic FRL Unit,E400L-03-D,,1,,
FRL Spacer Bracket,CE Pneumatic FRL Unit,Y400T-D,,1,,
Push-to-Connect Fitting,CE Pneumatic FRL Unit,PC16-03,,1,,
