child,parent,child_pn,fastener,qty,loctite,torque
BB-2812 Connector Panel,,BB-2812,,,,
Connector Plate,BB-2812 Connector Panel,BB-2812,CBE4-8,1,No,hand tight
Short Head Screw Bin,BB-2812 Connector Panel,CBSTBR4-8,,6,,
