child,parent,child_pn,fastener,qty,loctite,torque
Water Tank,,NXMA-0700059-0-0,,,,
10L Water Tank,Water Tank,10L-T0192,,1,,
Rc3/8 to 10mm Elbow,Water Tank,PLF10-03,,1,,
Quick Release Body,Water Tank,TS-3NR,,1,,
Quick Release Nozzle,Water Tank,JS-03,,1,,
Rc3/8 to 10mm Tube Fitting,Water Tank,PCF10-03,,1,,
10mm Air Tube PU,Water Tank,TS1075W-20,,1,,
10mm Bulkhead Elbow,Water Tank,PML10,,1,,
8mm Bulkhead,Water Tank,PM8,,1,,
8mm Silencer,Water Tank,AN15-C08,,1,,
