seq,level,component,parent,part_number,qty,status,fastener,f.qty,loctite,torque
2,L3,CE Pneumatic FRL Unit,Water Drain Assemblies,,1,NOT_STARTED,CBE8-20,2,,
,L4,Air Filter,CE Pneumatic FRL Unit,AFG40-03C-D,1,NOT_STARTED,,,,
,L4,Micro Mist Separator,CE Pneumatic FRL Unit,E400L-03-D,1,NOT_STARTED,,,,
,L4,FRL Spacer Bracket,CE Pneumatic FRL Unit,Y400T-D,1,NOT_STARTED,,,,
,L4,Push-to-Connect 16mm,CE Pneumatic FRL Unit,PC16-03,1,NOT_STARTED,,,,
3,L3,Drain Sub Assem,Water Drain Assemblies,NXMA-0700075-0-0,1,NOT_STARTED,CBE6-12,2,,
,L4,Auto Drain,Drain Sub Assem,DT3010-10-W-BW,1,NOT_STARTED,,,,
,L4,Auto Drain Bracket,Drain Sub Assem,B320,1,NOT_STARTED,,,,
,L4,R3/8 to 10mm Elbow,Drain Sub Assem,PL10-03,1,NOT_STARTED,,,,
,L4,10mm Air Tube PU,Drain Sub Assem,TU1065BU-20,1,NOT_STARTED,,,,
9,L2,CE FR Unit,Compressor,NXMA-0700074-0-0,1,NOT_STARTED,,,,
,L3,Filter Regular Unit,CE FR Unit,AC40B-03C-D,1,NOT_STARTED,,,,
,L3,R3/8 to 12mm Elbow,CE FR Unit,PL12-03,1,NOT_STARTED,,,,
,L3,12mm Air Tube PU,CE FR Unit,TU1208BU-20,1,NOT_STARTED,,,,
,L3,6mm to R1/8 Elbow,CE FR Unit,PL6-01,1,NOT_STARTED,,,,
,L3,6mm Tube,CE FR Unit,TU0604BU-20,1,NOT_STARTED,,,,
,L3,R3/8 to 16mm Tube Fitting,CE FR Unit,PC16-03,1,NOT_STARTED,,,,
,L3,16mm Air Tube PU,CE FR Unit,TU1610BU-20,1,NOT_STARTED,,,,
,L3,10mm Air Tube PU,CE FR Unit,TU1065BU-20,1,NOT_STARTED,,,,
,L3,16mm Elbow,CE FR Unit,PLJ16,1,NOT_STARTED,,,,
10,L2,Meter Panel Assy,Compressor,NXMA-0700064-0-0,1,NOT_STARTED,,,,
1,L3,Ball Valve Assy,Meter Panel Assy,,1,NOT_STARTED,,,,
,L4,Ball Valve,Ball Valve Assy,FF-08C,1,NOT_STARTED,,,,
,L4,R1/4 to 12mm Elbow,Ball Valve Assy,PL12-02,1,NOT_STARTED,,,,
,L4,R1/4 to 8mm Elbow,Ball Valve Assy,PL8-02,1,NOT_STARTED,,,,
2,L3,Port Valve Assy,Meter Panel Assy,,1,NOT_STARTED,,,,
,L4,3 Port Valve,Port Valve Assy,T-10,1,NOT_STARTED,,,,
,L4,R3/8 to 8mm Elbow,Port Valve Assy,PL8-03,1,NOT_STARTED,,,,
,L4,R3/8 to 12mm Elbow,Port Valve Assy,PL12-03,1,NOT_STARTED,,,,
3,L3,8mm T-Fitting,Meter Panel Assy,PE8,1,NOT_STARTED,,,,
4,L3,CE 3 Way Valve Bracket,Meter Panel Assy,NXMP-0700160-0-0,1,NOT_STARTED,,,,
5,L3,CE Ball Valve Bracket,Meter Panel Assy,NXMP-0700166-0-0,1,NOT_STARTED,,,,
6,L3,CE Meter Panel Plate,Meter Panel Assy,NXMP-0700172-0-0,1,NOT_STARTED,,,,
,L4,Pressure Gauge,CE Meter Panel Plate,G46-15-02-C,2,NOT_STARTED,,,,
,L5,6mm to Rc1/4 Elbow,Pressure Gauge,PLF6-02,2,NOT_STARTED,,,,
,L4,Pressure Sensor,CE Meter Panel Plate,ISE20A-R-M-M5-JB,1,NOT_STARTED,,,,
